id;quantity;price;current_price;create_date;date
1;Practical Taka;76960;42540;2021-10-17T12:10:52;2021-10-18T06:46:37
2;Shirt;91621;55493;2021-10-18T01:29:55;2021-10-17T14:16:36
3;Account Tasty;58697;99101;2021-10-18T06:39:35;2021-10-17T10:47:26
4;payment;50389;66000;2021-10-18T09:29:50;2021-10-17T12:10:15
5;administration;40782;39030;2021-10-17T14:02:17;2021-10-17T13:22:44
6;paradigms Automotive Wooden;63785;18291;2021-10-17T21:35:25;2021-10-17T17:31:52
7;Borders;34610;22800;2021-10-17T19:41:15;2021-10-18T07:21:37
8;Integration;60979;53036;2021-10-18T03:54:57;2021-10-17T12:19:55
9;Chair systems;91875;96528;2021-10-17T19:35:30;2021-10-17T12:24:58
10;Lek Product Synchronised;14612;135;2021-10-17T10:08:43;2021-10-17T17:44:02
